p,alpha_rho,beta_rho,model,num_trees,bias,rpehe,coverage,width
10,0.3,3,Oracle CLR,NA,"0.25 (0.20, 0.30)","0.67 (0.58, 0.83)","0.37 (0.31, 0.41)","0.34 (0.32, 0.36)"
10,0.3,3,CL-BART,5,"0.02 (-0.01, 0.06)","0.30 (0.26, 0.40)","0.52 (0.41, 0.65)","0.35 (0.29, 0.42)"
10,0.3,3,CL-BART,10,"0.02 (-0.01, 0.06)","0.28 (0.24, 0.39)","0.59 (0.49, 0.70)","0.38 (0.31, 0.46)"
10,0.3,3,CL-BART,25,"0.02 (-0.01, 0.06)","0.27 (0.22, 0.37)","0.78 (0.71, 0.85)","0.52 (0.44, 0.59)"
10,0.3,3,CL-BART,50,"0.02 (-0.01, 0.06)","0.26 (0.21, 0.36)","0.90 (0.85, 0.93)","0.71 (0.65, 0.77)"
10,0.95,2,Oracle CLR,NA,"0.25 (0.20, 0.30)","0.67 (0.58, 0.83)","0.37 (0.31, 0.41)","0.34 (0.32, 0.36)"
10,0.95,2,CL-BART,5,"0.02 (-0.02, 0.05)","0.28 (0.24, 0.37)","0.64 (0.53, 0.73)","0.45 (0.37, 0.52)"
10,0.95,2,CL-BART,10,"0.02 (-0.01, 0.06)","0.27 (0.22, 0.36)","0.73 (0.64, 0.81)","0.50 (0.41, 0.59)"
10,0.95,2,CL-BART,25,"0.02 (-0.01, 0.06)","0.25 (0.20, 0.36)","0.91 (0.85, 0.94)","0.71 (0.64, 0.77)"
10,0.95,2,CL-BART,50,"0.02 (-0.01, 0.05)","0.24 (0.19, 0.35)","0.96 (0.93, 0.98)","0.90 (0.85, 0.97)"
20,0.3,3,Oracle CLR,NA,"0.25 (0.20, 0.32)","0.68 (0.58, 0.81)","0.37 (0.32, 0.41)","0.34 (0.32, 0.36)"
20,0.3,3,CL-BART,5,"0.03 (-0.01, 0.08)","0.31 (0.25, 0.38)","0.49 (0.39, 0.61)","0.33 (0.24, 0.43)"
20,0.3,3,CL-BART,10,"0.03 (-0.01, 0.08)","0.30 (0.24, 0.39)","0.56 (0.46, 0.67)","0.36 (0.28, 0.44)"
20,0.3,3,CL-BART,25,"0.03 (-0.01, 0.08)","0.28 (0.24, 0.36)","0.74 (0.65, 0.81)","0.50 (0.43, 0.57)"
20,0.3,3,CL-BART,50,"0.03 (-0.01, 0.08)","0.27 (0.23, 0.35)","0.89 (0.84, 0.92)","0.72 (0.66, 0.78)"
20,0.95,2,Oracle CLR,NA,"0.25 (0.20, 0.32)","0.68 (0.58, 0.81)","0.37 (0.32, 0.41)","0.34 (0.32, 0.36)"
20,0.95,2,CL-BART,5,"0.03 (-0.01, 0.07)","0.30 (0.25, 0.38)","0.60 (0.50, 0.69)","0.42 (0.35, 0.51)"
20,0.95,2,CL-BART,10,"0.03 (-0.01, 0.08)","0.28 (0.23, 0.36)","0.70 (0.61, 0.80)","0.48 (0.41, 0.57)"
20,0.95,2,CL-BART,25,"0.03 (-0.01, 0.07)","0.27 (0.23, 0.34)","0.88 (0.84, 0.92)","0.71 (0.64, 0.77)"
20,0.95,2,CL-BART,50,"0.03 (-0.01, 0.07)","0.26 (0.22, 0.34)","0.95 (0.93, 0.96)","0.93 (0.88, 0.99)"
